4374321159389800897,-15,6
5952763721589075805,25,6
15467159866804736048,0,5
5524705680849869296,0,5
10596562363610737235,-45,5
15297771124317738590,-40,5
15960455143420660749,-35,5
4570925959101312907,130,5
223934454776260741,35,5
9159205289221699198,20,5
17179430399240069713,-15,5
9637596641399484710,-15,5
9160178977018894820,95,5
15566688349497700993,-10,5
17359048246042467086,-15,5
5856915968958736663,125,5
7868722897578733081,35,5
1239838264378093794,15,4
9241766963854779597,15,4
16976140599543232442,0,4
1240667776456531832,10,4
13127780056258901021,10,4
11443497753611328914,10,4
15383705792602183290,110,4
16792028738259554676,5,4
10740767036855832463,15,4
322938613160745888,0,4
8047168429715179735,0,4
10740425573613576213,0,4
3608837455697005424,0,4
1942578042703373055,0,4
5724136224908419002,100,4
8287912300630513844,0,4
1081725714643076687,15,4
11418489336589750880,0,4
17699314167977722135,0,4
1080997361803766229,0,4
12112708220053701296,0,4
9293385676986673983,0,4
12439412261549058839,-45,4
15034757278905267692,-35,4
4743311122771059139,-45,4
3028010690220716724,-45,4
15034500478855256694,-30,4
8628268151360483603,-30,4
6871792440288172188,-35,4
16997639500293232410,-40,4
10944913180651456993,-30,4
473358237950336462,-20,4
7874459522383056569,-25,4
10945807705918334587,-25,4
3530770094593215774,-25,4
1738273226145014929,-30,4
16043344138977544775,120,4
11445423608947692466,-35,4
1126955860749322141,-35,4
7238911441663644906,-35,4
11445096566192618536,-35,4
4165165674358363981,-35,4
1237894955502468802,-30,4
15826252443585091474,-25,4
12349337819603146980,-25,4
3561353526557708580,-15,4
11581331650139129049,120,4
13702066956848317873,-10,4
480868907071215109,-15,4
16705688838898225308,-15,6
10886619301378170858,-15,4
943745927607096874,-15,4
15185544429711074697,-15,4
10808622240270276996,35,4
9390892043229676223,-10,4
4240350684734689547,-15,4
11227787098430131815,5,4
766892469359221320,-15,4
7021827994067487039,-25,4
11228153854608679421,-25,4
4380569626918111896,-25,4
1453165309881934615,-20,4
2682446731300828188,-30,4
6864817143558428600,-20,4
14884930296801215045,115,4
14992280536721818413,-15,4
7531321785506320537,-20,4
1823206698482365202,-20,6
7147240165197435062,-35,6
13588810091264893717,-20,6
18147028555332263704,-10,5
17040464807045497891,-55,5
6120394646560659351,-20,5
6888308804068911359,-40,3
11602367704767581041,-45,3
5380660116271693096,100,3
10163549155538318857,-35,3
12067150330356197898,-35,3
7200292213531193329,-30,3
11346608389121789055,-35,3
4084538549765102712,-35,3
9218066555714543733,5,3
12788127107920539911,-35,3
11169915023167253764,-35,3
2299940845686714634,-35,3
10276818803994207525,-20,3
16521630849464825426,-20,3
2299226777909141136,-30,3
13326428642056926709,-20,3
10381002500510309498,-25,3
15141338952621786981,-45,3
15034740306678183144,100,3
1657886939919269833,-35,3
4430117283673596874,-35,3
17173479148937412715,-35,3
16564511874477369781,0,3
3131510963683276999,-35,3
76090536210883780,-35,3
16244725385056129668,15,3
10544034837304893072,30,2
8151304726653618385,-35,4
2249410084887563853,-30,2
11089951717317310286,-40,2
10436275170231758109,-45,2
6301317892068468284,30,2
8071941370370770603,0,3
227009097585035967,30,2
16170966340471266558,-15,4
2005029894771676636,0,3
16245518747871018270,0,3
5074201727595386491,0,3
7965576286611455988,0,3
4815051614207049692,-45,3
4527776184756576551,-105,3
5617906326157913395,-50,3
12590516094253398898,-35,4
12655242705712182536,-100,3
14156629785694873215,-100,3
4527967976978501309,-100,3
11082813661458605528,-100,3
12767237332959562839,-105,3
13982941061010767939,-50,3
2396422326117029378,-35,3
3598740676492604360,-50,3
17378438334405319421,-90,3
16859343079695091583,-30,4
15889614598051969308,-45,3
6942595507838701266,-85,3
13210543913869437547,-45,3
832895642508434853,-85,3
5617579282060116649,-50,3
17379367902167496039,-85,3
16928226383501093324,-50,3
6212550390797770242,-85,3
9139825996286408589,-90,3
7350958651602905615,-30,3
339912899867537045,-50,3
13289508310154746203,-45,3
1478126210382145710,120,3
4955266517467215712,-100,3
17878984007304626350,-40,3
16197793754040524076,-35,4
15398146768029180751,-95,3
7596298760896386177,-35,3
13719990998831476792,-95,3
197453054942201846,-35,3
4956161041391376634,-95,3
17878621655212633908,-35,3
16419931387109356447,-95,3
6846910726229836881,-35,3
14645449124431763984,-100,3
8639412601501183454,-40,3
8012375835709993052,-30,3
10955738346304522285,125,3
684276360455855106,-15,3
7109229160399523701,-25,3
10955550812257724343,-25,3
5605156128412532280,100,3
4544534204728134866,-25,3
1725207670556845405,-20,3
12844069870933311772,115,3
8269951883676339867,115,3
16406988581038037684,-15,3
9828915797344700867,-15,3
8270777144139817217,120,3
12035834114983819406,100,3
15411090674684807780,-15,3
18248435789586457579,165,3
15391720500679235892,120,3
11852975284777897763,-15,5
3822336155791891212,-10,5
6835810589034858619,-15,5
11852714083720470713,-15,5
8195742146545940790,-5,5
244828279479880668,-10,5
3136063341183722067,-15,5
15899981102939341671,115,3
15444899127269590587,35,3
5125903071034298900,35,3
3239454100983120227,95,3
15444034430559283617,100,3
257927677038538798,35,3
8164104535461102276,35,3
6461820123244112715,35,3
17694070565647329953,70,3
2511379247681902208,15,3
5718506639771790672,15,3
2001214825144514950,20,3
9178993101862507815,15,3
6305623746903915688,10,3
16938760641074053393,-35,4
16558157685705280340,20,3
2919370946807868214,45,3
4973345066389457338,125,3
8750631785259683508,35,3
18434483524880865047,20,3
10543613353782275271,20,3
14324817101241808913,20,3
11703750002320348336,20,3
9983447269249596735,20,3
5106901549547442160,20,4
12947750372561011375,20,3
5264505067519945325,20,3
16008510235262007679,20,3
9993538169951989161,25,3
17156398852815110408,20,3
14337072112484345991,15,3
17694222919357220155,75,3
10879215020754536569,20,3
16241492555836985668,20,3
12104815115884854741,20,3
9638198135606710911,20,3
12475398506889395184,15,3
6727269659071157527,20,3
9178656041087335101,20,3
6305433044656313138,15,3
14246471024051928116,20,3
5415213196400296190,20,3
10312319338390443098,15,3
4821260539752790074,15,3
7436189357534603819,125,3
6576949873865878821,-15,3
2828716371746730974,10,3
13129135092204824561,20,3
15988351755182584966,20,3
2829078724518730820,15,3
18437519322316626732,20,3
4315924366241075080,25,3
3614986444237485900,20,3
7271382416380193889,-15,4
15859302413808060288,110,3
2084049076308445191,110,3
10203353369610345512,-15,3
16595641671680888671,-15,3
2085009424071452573,115,3
14496838299112586770,95,3
13544562319940193528,-15,3
10599139608997537143,-20,3
13525051597315645352,115,3
12862516284643788283,110,4
13294501955031548071,10,4
2957210553406461064,-10,4
4817752831287707647,90,4
13293774557562416957,5,4
7907359013788907186,0,4
2262068333678543960,-10,4
4000390340085214679,5,4
798866419906332975,80,1
7390770182928509859,120,1
6549898041274412205,-20,5
15871219134491915534,10,2
12810459271658770142,30,1
16527768559089097224,15,2
9365664441177044649,10,2
12184982247973216038,10,2
7298874058450382313,25,2
12596100709229812008,30,1
13876361578662510062,-35,2
16828898755923485989,85,1
9786508697142018531,-30,2
16194441697426407286,80,1
10176262107341659642,120,1
10296035112195791792,-25,2
10079801797471325640,85,1
5092289780898950570,45,1
3110892259740258086,120,1
1682305314581645352,-20,4
10519480618269659531,15,2
18193049909127588443,45,1
12169636288675462797,50,1
14719118618449760812,45,1
16475458943564807075,40,1
2951996431074560364,40,2
17862641790296850316,125,2
14668357935629891714,-15,5
5563201134995546401,15,2
13228361692978530787,15,2
2356073743037815537,15,2
8371063249332882983,20,2
1192352687667880582,15,2
4065713109096073993,20,2
17599890371055188422,15,3
10250776379051727458,-45,2
5901735410307885505,-45,2
1631773716584830412,-40,2
2276372944811806623,-45,2
3704563231920103036,20,1
74854388238552823,20,2
798635043907380917,15,2
7521415738925575159,15,2
11255302413058157819,125,2
11549057018708700149,-20,5
2305434840105448138,15,2
6442155856854490715,15,2
8888436105518543345,15,2
6033230790019471486,10,2
11522838924079835825,-15,3
7391036747335255097,125,2
6550097535740298039,-20,5
11801616529977046681,15,2
9366062953530071347,15,2
12185252240946376892,10,2
7298569013175108211,10,3
13946168584015523676,185,2
18302098568586307666,-15,5
4264471526135914426,15,2
13095728973963944816,15,2
14002038093856254230,10,3
16819529074162140883,120,2
15356812205680656861,-20,5
8180617633276409812,10,2
13579299842253478836,10,2
16911436126654627993,10,3
10433767537122288445,25,2
5722121927460655262,-35,2
588593904264244371,-30,2
198979439375462538,120,1
79217221870270144,-25,2
2043587721151345122,30,1
2317361451714737900,-45,4
2272010135736711080,-50,2
11878154689060938326,40,1
10998649024586622296,-20,4
2163699407644228859,25,2
16476384119982396473,30,1
4339836376639378257,30,1
17870343021346506741,35,1
17423876202868604721,30,1
12037044126280131612,30,2
2031278571660408640,-35,2
10179574809036202863,-20,2
16614652736948105240,-20,2
2032244421284075738,-30,2
14552141047751033173,-40,2
13487006706334167999,-20,2
10649675974203202096,-25,2
4578109300964139205,100,2
2325034827316654158,-30,2
12768195982679516257,-10,2
15773780045336934166,-10,2
2325924810369572820,-25,2
17692167852244878939,-30,2
9754756001389311153,-10,2
12664012329253625150,-15,2
3943678322078907030,95,2
4343048890750173130,65,2
12479487448216316901,5,2
14332156398479898770,75,2
4343419909961093200,5,2
16827279733584284127,15,2
11195508635027700533,5,2
12951834873753752250,15,2
13618383114239063470,75,2
12024649475812960749,-10,2
14656441199732871741,-10,2
11529121193714960107,-5,2
18111297900564949578,-10,2
15255951985016079301,-15,2
4784481838850528800,70,2
16333252589270701262,105,2
16059833467814613952,60,2
6375955045920328291,65,2
3890529768388538803,20,2
7017867213379282277,25,2
415337027964783044,20,2
3252676624907722827,15,2
16698669015384409639,70,2
4947390791816020611,-45,2
11601134539604900394,75,2
282245925695323790,-45,2
12235707104402399353,70,2
649447003791237783,105,1
781596094882915549,-40,2
7956216828517788504,70,2
11755518496535186234,65,1
14890188302060775862,105,1
17496538000588467896,30,1
14807578582460493820,30,2
4005303974958431682,-10,2
14786816850887972096,-10,2
6490729252353869330,-10,2
1047714630979195588,-5,2
7651001381339528805,-10,2
4813670443053275114,-15,2
8349338302205509857,110,2
5740520731850393583,0,2
14487623800851570252,30,2
3724054941068424846,65,2
11855832077068002716,30,2
17298864173260042570,35,2
10715755181466197483,30,2
13571109755667559524,25,2
8820019827266950462,-40,4
15410537228011296428,-45,3
10565213206185159329,-40,3
10986211162493515448,110,2
11217720938619760882,-35,3
6904303130342735257,110,2
7180322063947840151,0,2
6632260769663499219,0,3
4904743649901999963,-5,2
8534753772050999248,-5,3
1351265190869350164,5,2
7304640194763140649,5,2
2578000540347482808,5,2
142943933509315858,5,2
2962119765866415261,0,2
17031341794115572890,0,2
1731855104763007894,110,2
2629093693376173208,70,2
11224263460852223399,0,2
15950965366582583606,0,2
18401714022174248604,0,2
15528485817020999443,25,2
13618113261112384052,80,2
15665213848611596922,-5,2
18112131806520526288,-5,2
15256912484058721375,-10,2
4784672680944613818,75,2
16332348169766828884,110,2
16058864176856267866,0,2
2881696106534521332,25,2
414582139467474526,25,2
3251777849636491217,20,2
4724193587812074329,5,2
14923987251167215507,5,2
5021701104732213297,170,2
8774148206397265727,0,2
13768742806181667031,0,2
3568949861969320989,0,2
803509003762166583,0,2
14326682728763197271,0,2
7877055747656202686,105,2
5846885858427256496,0,2
17707433033177073849,25,2
